Index,created_at,_id,author.location,geo.place.country,in_reply_to_user.location,country,latitude,longitude
211,2023-02-24T07:56:08.000Z,1.63E+18,undefined,undefined,undefined,NA,38.9597594,34.9249653
212,2023-02-24T07:56:08.000Z,1.63E+18,hatay,undefined,undefined,NA,-23.2335499,17.3231107
213,2023-02-24T07:56:06.000Z,1.63E+18,"Ankara, Türkiye",undefined,undefined,Turkey,-23.2335499,17.3231107
214,2023-02-24T07:56:03.000Z,1.63E+18,undefined,undefined,undefined,NA,39.7837304,-100.445882
215,2023-02-24T07:56:02.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
216,2023-02-24T07:56:01.000Z,1.63E+18,"North Devon, England",undefined,Beijing,United States of America,30.3308401,71.247499
217,2023-02-24T07:56:00.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
218,2023-02-24T07:55:57.000Z,1.63E+18,Pakistan,undefined,undefined,Pakistan,-23.2335499,17.3231107
219,2023-02-24T07:55:56.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
220,2023-02-24T07:55:54.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
221,2023-02-24T07:55:53.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
222,2023-02-24T07:55:53.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
223,2023-02-24T07:55:51.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
224,2023-02-24T07:55:51.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
225,2023-02-24T07:55:51.000Z,1.63E+18,undefined,undefined,undefined,NA,11.8395375,13.1536214
226,2023-02-24T07:55:50.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
227,2023-02-24T07:55:49.000Z,1.63E+18,"Yerwa, Maiduguri, Borno State",undefined,undefined,Yerwa,-23.2335499,17.3231107
228,2023-02-24T07:55:46.000Z,1.63E+18,undefined,undefined,undefined,NA,38.9597594,34.9249653
229,2023-02-24T07:55:43.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
230,2023-02-24T07:55:39.000Z,1.63E+18,Antakya,undefined,undefined,Turkey,-23.2335499,17.3231107
231,2023-02-24T07:55:38.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
232,2023-02-24T07:55:36.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
233,2023-02-24T07:55:36.000Z,1.63E+18,undefined,undefined,undefined,NA,38.9597594,34.9249653
234,2023-02-24T07:55:33.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
235,2023-02-24T07:55:32.000Z,1.63E+18,Hatay,undefined,undefined,Turkey,-23.2335499,17.3231107
236,2023-02-24T07:55:32.000Z,1.63E+18,ATATÜRKEŞÇİ,undefined,Antakya,NA,38.9597594,34.9249653
237,2023-02-24T07:55:31.000Z,1.63E+18,undefined,undefined,undefined,NA,61.0666922,-107.991707
238,2023-02-24T07:55:30.000Z,1.63E+18,Turkey,undefined,undefined,Turkey,-23.2335499,17.3231107
239,2023-02-24T07:55:30.000Z,1.63E+18,"South Hazelton, BC",undefined,undefined,Canada,-23.2335499,17.3231107
